Disease,Description1,Description2,"https://www.upmc.com/services/division-infectious-diseases/conditions/fungal-infections, https://www.bupa.co.uk/health-information/healthy-skin/fungal-skin-infections, https://www.medicalnewstoday.com/articles/317970"
Fungal infection,"A fungal infection is a condition caused by the growth of fungi on or in the body. Fungi are microscopic organisms that can thrive in moist, warm environments. They can cause a variety of infections, ranging from mild skin conditions to serious systemic diseases.","Fungal infections, or mycoses, occur when fungi invade the body, commonly affecting the skin, nails, or internal organs. They can be superficial, such as athlete's foot and ringworm, or systemic, impacting those with weakened immune systems. Symptoms vary widely but often include itching, redness, and changes in skin or nail appearance. Diagnosis typically involves clinical evaluation and laboratory tests. Treatment usually consists of antifungal medications, which can be topical or systemic depending on the severity of the infection.",https://www.medicalnewstoday.com/articles/314690
Allergy,"An allergy is a hypersensitive reaction to a foreign substance, called an allergen. When a person with an allergy comes into contact with the allergen, their immune system overreacts, causing a range of symptoms. These symptoms can vary widely depending on the type of allergy.","Allergies are hypersensitive immune responses to substances like pollen, dust, or certain foods, causing symptoms such as sneezing, itching, and hives. Diagnosis involves skin or blood tests to identify allergens, while treatment focuses on avoiding triggers and using antihistamines. Severe reactions can lead to anaphylaxis, requiring immediate medical attention.",https://www.webmd.com/heartburn-gerd/reflux-disease-gerd-1
GERD,"GERD is a condition characterized by the frequent backflow of stomach acid into the esophagus. This reflux can cause heartburn, chest pain, and other symptoms. GERD is often associated with lifestyle factors such as diet, stress, and medication use.","GERD is a chronic condition where stomach acid frequently flows back into the esophagus, leading to symptoms like heartburn and regurgitation. It often results from a weakened lower esophageal sphincter and can be diagnosed through symptom assessment and endoscopy. Treatment includes lifestyle changes, dietary modifications, and medications such as proton pump inhibitors",https://my.clevelandclinic.org/health/diseases/17019-acid-reflux-gerd
Chronic cholestasis,"Chronic cholestasis is a liver disorder characterized by the impaired flow of bile from the liver to the small intestine. Bile is a fluid produced by the liver that helps to digest fats. When bile flow is disrupted, it can lead to jaundice, itching, and other symptoms.","Chronic cholestasis is characterized by impaired bile flow from the liver, leading to bile accumulation and potential liver damage. Symptoms include jaundice and itching, with diagnosis typically involving blood tests and imaging studies. Treatment focuses on managing symptoms and underlying causes; severe cases may require liver transplantation.",https://www.nhs.uk/conditions/common-cold/
Drug Reaction,"A drug reaction is an adverse response to a medication. It can range from mild side effects to severe allergic reactions. Drug reactions can be caused by a variety of factors, including the type of medication, the individual's sensitivity, and the dosage.","Drug reactions occur when the body reacts adversely to medications, ranging from mild rashes to severe anaphylaxis. Diagnosis is based on medical history and symptom evaluation, while treatment involves discontinuing the offending drug and managing symptoms with antihistamines or corticosteroids for severe reactions.",https://www.nhs.uk/
Peptic ulcer disease,"Peptic ulcer disease is a condition characterized by sores in the lining of the stomach or duodenum. These ulcers can be caused by a variety of factors, including infection with the Helicobacter pylori bacteria, excessive acid production, and certain medications.","Peptic ulcer disease involves sores in the stomach or duodenum caused by factors like H. pylori infection or prolonged NSAID use. Symptoms include abdominal pain and bloating, with diagnosis typically through endoscopy. Treatment includes antibiotics for H. pylori and acid-reducing medications.",https://www.who.int/
AIDS,"AIDS is a chronic and potentially life-threatening condition caused by the human immunodeficiency virus (HIV). HIV attacks the immune system,
 making the body susceptible to infections and other health problems. ","AIDS is a chronic condition caused by HIV that severely weakens the immune system, making individuals susceptible to opportunistic infections. Diagnosis is confirmed through blood tests detecting HIV antibodies or viral load, while treatment primarily involves antiretroviral therapy (ART) to manage the virus.",https://www.healthline.com/health/pneumonia
Diabetes,"Diabetes is a metabolic disorder characterized by high blood sugar levels. There are two main types of diabetes: Type 1, which is caused by the body's inability to produce insulin, and Type 2, which is caused by insulin resistance.","Diabetes is a metabolic disorder characterized by high blood sugar levels due to insulin resistance or insufficient insulin production. Symptoms include increased thirst and frequent urination, with diagnosis made through blood tests measuring glucose levels. Management includes lifestyle changes and medications or insulin therapy depending on the type of diabetes.","https://www.webmd.com
"
Gastroenteritis,"Gastroenteritis is an inflammation of the lining of the stomach and intestines. It is often caused by viral, bacterial, or parasitic infections, and can lead to symptoms such as diarrhea, vomiting, and abdominal pain.","Gastroenteritis is inflammation of the stomach and intestines often caused by viral or bacterial infections. Symptoms include diarrhea, vomiting, and abdominal cramps, with diagnosis typically based on clinical evaluation. Treatment focuses on hydration and electrolyte balance; antibiotics may be used for bacterial causes in severe cases.",https://www.healthline.com/health/pneumonia
Bronchial Asthma,"Bronchial asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways. This can lead to wheezing, shortness of breath, and coughing.","Bronchial asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways, leading to difficulty breathing, wheezing, coughing, and chest tightness. Symptoms may be triggered by allergens, exercise, or environmental factors. Diagnosis typically involves lung function tests and medical history evaluation. Treatment includes inhaled corticosteroids, bronchodilators, and avoiding known triggers to manage symptoms effectively.",https://my.clevelandclinic.org/
