Disease,Medication,FoodToEat,FoodToAvoid,Links
Fungal infection,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","Probiotics like yogurt, garlic (natural antifungal), coconut oil, and foods rich in Omega-3s (e.g., salmon, nuts) can help balance yeast levels. Additionally, ginger, turmeric, and cinnamon have antifungal properties. Lemon and lime juice can also aid digestion and balance pH levels.","High-sugar foods, refined carbs, alcohol, and fermented foods, as they can feed fungal overgrowth like Candida​",https://www.who.int/news/item/25-10-2022-who-releases-first-ever-list-of-health-threatening-fungi
Allergy,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","Anti-inflammatory foods such as fatty fish (rich in Omega-3), flaxseeds, and turmeric can reduce inflammation linked to allergic reactions. Probiotic-rich foods (e.g., yogurt, kefir) might help boost gut health and immune response.","Common allergens (e.g., dairy, gluten, soy, nuts), processed foods, and sugar may aggravate symptoms",https://doctoralexa.com/learn/womens-health/foods-that-cause-yeast-infections/
GERD,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","Bananas, melons, oatmeal, and whole grains are gentle on the stomach. Vegetables like broccoli, asparagus, and leafy greens are good options. Ginger can soothe the digestive tract."," Acidic foods (e.g., tomatoes, citrus), chocolate, spicy foods, coffee, and alcohol can trigger acid reflux​",https://www.thecandidadiet.com/candida-fighting-foods/
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","Fiber-rich foods (e.g., fruits, vegetables, whole grains), and healthy fats (e.g., olive oil, avocados). Vitamin D and calcium-rich foods are essential for those with liver conditions affecting bile flow.","Saturated fats, fried foods, and high-cholesterol foods should be minimized to reduce liver stress​",https://www.health.harvard.edu/
Drug Reaction,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']","A balanced diet with a focus on antioxidants (berries, leafy greens), whole grains, and lean proteins can support immune recovery. Probiotics help restore gut health if antibiotics were involved."," Highly processed foods, sugar, and alcohol, which can further irritate the body during recovery​",https://www.mayoclinic.org/diseases-conditions/hypothyroidism/symptoms-causes/syc-20350284
Peptic ulcer disease,"['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']","Lean proteins, low-fat dairy, and fibrous foods (e.g., apples, carrots, oatmeal). Probiotics like yogurt can help balance stomach flora.","Spicy foods, alcohol, caffeine, and acidic foods like citrus and tomatoes​",https://www.centerforvein.com/blog/foods-you-should-and-shouldnt-eat-if-you-have-varicose-veins-db
AIDS,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']","High-protein foods (e.g., lean meats, eggs), whole grains, and fruits and vegetables rich in antioxidants. Probiotic-rich foods like yogurt can help support gut health.","Raw or undercooked foods that may carry bacteria, and foods high in sugar which may compromise immune function",https://www.verywellhealth.com/foods-to-avoid-with-arthritis-5090739
Diabetes,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']","Whole grains, legumes, leafy greens, and healthy fats (e.g., olive oil, nuts). Foods with a low glycemic index like berries, sweet potatoes, and quinoa can help regulate blood sugar levels.","Sugary foods, refined carbohydrates, and processed snacks should be minimized to maintain balanced blood sugar",https://www.centerforvein.com/blog/foods-you-should-and-shouldnt-eat-if-you-have-varicose-veins-db
Gastroenteritis,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Bland foods like bananas, rice, applesauce, and toast (BRAT diet). Hydration is key, so soups and electrolyte-rich drinks (e.g., coconut water) are recommended.","Dairy, caffeine, fatty foods, and highly seasoned foods, which may irritate the stomach",https://www.centerforvein.com/
Bronchial Asthma,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']","Omega-3 rich foods (like salmon, flaxseeds), antioxidant-rich fruits (berries, apples), and vegetables may reduce inflammation and improve lung function. Ginger and turmeric can help reduce symptoms.","Processed foods, sulfite-containing foods (like dried fruits, wine), and dairy for some people as they may trigger symptoms.",https://www.who.int/news-room/fact-sheets/detail/hepatitis-a
Hypertension,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","The DASH diet is highly recommended for managing blood pressure. It includes fruits, vegetables (especially potassium-rich like bananas, leafy greens), whole grains, and lean proteins (like poultry, fish). Foods rich in magnesium like oats and nuts are also beneficial.","Limit high-sodium foods like processed snacks, canned goods, and salty condiments. Also, minimize alcohol intake",https://www.who.int/publications/i/item/9789241506410
